,text,sentiment
0,@AidanTheJester Shakira’s hips and Boris Johnson stand guarding two doors. One only tells the truth and the only other only lies,-1
1,"@campbellclaret The two most memorable Tory Prime Ministers are Margaret Thatcher, despised by many, for successfully carrying out all of her policies &amp; Boris Johnson, despised by the majority, for not successfully carrying out ANY of his policies.\nJohnson is by far the worst PM in UK history!",-1
2,@Scarborough_GB @BorisJohnson Boris Johnson serves Boris Johnson and nothing more.,-1
3,"@BellaWallerstei Totally agree , out of interest and a genuine question,how much has Boris Johnson cost us ?",-1
4,Facts:\nThe Law is the Law.\nNo one is above the law -except Boris Johnson.,-1
5,@thehistoryguy I doubt Boris Johnson would follow the same suit.,-1
6,@JoeBiden Fancy giving boris Johnson a call and ask him to get his finger out and do the same!!!!,-1
7,"@michael_ravnica @Mexico1978R Thanks to Boris we now have an additional 10,000 migrants this year who want one. Johnson conned us.",-1
8,"Boris Johnson believed that entitlement and superiority allowed him to disregard lockdown laws and thought he was untouchable, in fact he still believes that. Trust and respect in him will never be rebuilt because people will never “move on” from losing so much during this time.",-1
9,@Mimicinque @norah5218 @kittannkat The only person loudly booed was Boris Johnson and the BBC edited that before showing it later!,0
10,@sullydish @robHalifax Could you get Boris Johnson on the dishcast?,-1
11,@LBC @Keir_Starmer @NickFerrariLBC Would he have an investigation into the Metropolitan Police for not finding Boris Johnson guilty of partygate,-1
12,"Boris Johnson getting (rightfully) booed, followed by Starmer being (rightfully) met with total apathy is, well... These are our two main choices after a literal plague, massive drop in living standards for everyone, and an actual timer on the survivability of our only planet.",-1
13,@WonPeople Not Boris Johnson thats for sure.,-1
14,And so is Boris Johnson.,0
15,@BBCPolitics BBC’s relentless witch hunt on Boris Johnson continues.\n#DefundTheBBC,1
16,@JonathanPieNews #alcoholawareness Boris Johnson and Parliament-Alcohol use disorders!,-1
17,@NadineDorries Boris Johnson prime minister. Only in Britain.,-1
18,"A party was hosted in number 10 during the lockdown , when\nPictures were out, they are holding Boris Johnson by the jugular calling for his resignation.  70 people were murdered  but they are holding a caucus  meeting and smiling enjoying  their dinner.",-1
19,@furbabygirl Boris Johnson’s and his cheap political deceit ruined the Tory party. To think I used to like them.,-1
20,@LesleyJMiller @BorisJohnson @RishiSunak @UKChange #alcoholawareness Yes -Boris Johnson-#Booze-Under the alcohol influence!,-1
21,@at_deep @thejonnyreilly And Boris Johnson understands food banks where Sunak doesn’t?? It’s a ridiculous suggestion that Sunak’s wealth disqualifies him from power.,0
22,@thehistoryguy Profumo gave state secrets to our enemies by sleeping with a prostitute.\n\nBoris Johnson ate some birthday cake and a M&amp;S sandwich.\n\nFalse equivalence?,1
23,"If the message from the British people wasn’t getting through before this Jubilee weekend then the last 4 days must have been the biggest wake up call for Conservative Central Office. Boris Johnson is done, finished, kaput and a electorally dusted Norwegian Parrot 🍷",-1
24,"I knew I would cry about the whole jubilmania so I safeguarded my mental health by ignoring the whole thing. Unfortunately by doing so I missed seeing, hearing, Boris Johnson being booed.",-1
25,@France24_en @carysgarland @BenedictePaviot I am sorry we watched Harry &amp; Megan live on TV news &amp; they were not booded at all but Boris Johnson was booded very loudly,-1
26,"Idiot Andrew Bridgen ‘Let me be clear. If we get the opportunity to move on from the leadership of Boris Johnson, the next PM will have to be an active Brexiteer.’\n\nOf course we want a Brexiteer but Bridgen can’t guarantee that! \nWhat an idiot, he’s playing with fire.",0
27,"Will Boris Johnson ever straighten his tie… probably not, but what he must do is get lost ASAP!  If his ‘Back Boris’ fans think he cares about them, then they’re probably the sort of people that enjoy having a cheap prostitute take a dump on their chest.",-1
28,@people Pretty sure that was meant for Boris Johnson!,-1
29,"When there’s some kind of nuclear thing and the world explodes, all that will be left is cockroaches and Boris Johnson",-1
30,Those idiots plotting against Boris Johnson must really want to see the destruction of the Conservative party.  Anti democracy fools like Tobias Elwood with his pro EU views are running the real risk of causing major civil unrest on the streets of the UK.,1
31,@BeckettUnite And how much Boris Johnson cost? Expenses for MP’s? From this perspective Royal Family are not too bad. Just limit numbers. I had been present at some of the engagements by Royals. For an example: horse riding for disabled visited by Princess Anne. It was uplifting and useful.,0
32,"@withnailjones Someone ordered a Boris Johnson from Wish, 🤦🏻\u200d♂️",0
33,"""Will Boris Johnson"" finally see that he is the problem.\n\nThe flagrant lies\nThe cover-ups\nThe way we are dispensible to him\nThe underlying contempt he has for us\nThe absence of good intention\nThe selfishness at his core\nIt\'s time to go, admit defeat &amp; leave.",-1
34,Boris Johnson deserved that booing.,-1
35,"Boris Johnson could face a confidence vote next week, with reports saying enough Conservative MPs have submitted no confidence letters in him to trigger a ballot.",0
36,"@vinceninn @antanddec @axelblake_ @BGT Stupid comment Vince, but noticed you love Boris Johnson so you have a severe lack of judgement",0
37,10. Lee Mack Boris Johnson - 100K+\n11. Argentina vs Estonia - 50K+\n12. Portugal vs Switzerland - 50K+\n13. Grimsby Town - 50K+\n14. Who won BGT 2022 - 50K+\n15. Wales fc - 50K+\n16. David Beckham - 50K+\n17. Pippa Middleton - 20K+\n18. Love Island - 20K+,0
38,@fredopups @stuglow Good luck to you Jennifer!\nIt sounds great!\nBrexit Britain will start to dramatically improve when Boris Johnson has gone and we get a real Brexiteer PM!\nThe first thing he/she should do is tell Macron and the EU to get lost!,-1
39,"@Loriagne2 The saddest part is that he actually believes it to be true. Every time I see Boris Johnson I think of Spitting Image. However, those dolls would not have been as funny as him if it was satire on his part rather than his true beliefs.",-1
40,@Jackson_Carlaw God save the Queen from Boris Johnson 🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f,0
41,"@reece_dinsdale Fat Knacker is possibly the best description of Boris Johnson ever, Apart from fat wanker which me dad called him the other day 👍🏻",-1
42,"""Partygate: Boris Johnson says he was \'very, very surprised\' to receive fine for lockdown party.""\n\nPartygate: Was Boris Johnson \'very, very drunk at the time?",-1
43,I can fully understand Scotland wanting to independent with Boris Johnson and sadly his antics realations now feel as though Britain is on another planet and isolated which of course Brexit was always going to do. Best wishes to you and thank you again for your kind tweet.,-1
44,@embournemouth @afneil @Tories @Tobias_Ellwood @BorisJohnson Me? Me support Boris Johnson?!?!,0
45,"@jamesmcconachi1 We’re the laughing stock of Europe, that’s for sure. I was in Croatia witnessing first hand the hilarity with which news of Boris Johnson’s election was greeted. Wherever you go, ‘what the Hell are you doing?’ They ask.",-1
46,@ukreloaded The people rule and they will dump Boris Johnson and his party June 23rd wait and see people want decency not a liar and some one who thinks he can dictate to us,-1
47,@AutismHousedad It’s really odd. He wasn’t even that great as Jack Sparrow. No idea why people are so invested in the idea that he’s a great guy. Mind you they fell for Boris Johnson’s ‘funny’ persona too.,-1
48,@JaniceGaches I Respect the Queen but I cried when I did read that Boris Johnson lied to her to prorogue Parliament and also was partying and having a good time while she was sitting all alone mourning her beloved husband . So sad and 💔💔.  😢,-1
49,"@LemSip27 Same in Italy. The problem is only in the UK, and it’s all Boris Johnson’s fault.",-1
50,Boris Johnson is #UnfitForOffice @BorisJohnson @Conservatives,-1
51,@westlowersaxoni @filosofs @noclador They choosed quality over quantity - and delivered Boris Johnson.\n\nYou know straight and honest guy from Brexit …,-1
52,@Skoach05 You and Alexander Boris DePefeffel Johnson then ...,0
53,@BBCPolitics It’s not Boris Johnson that needs to go…. It’s the whole Tory party that needs binned!!!!,-1
54,@alexlondon @BeckettUnite Boris Johnson doesn’t exist in Ireland and Germany.,-1
55,"@DanielaNadj Interesting replies re Serbia... most folk in the UK would be horrified at being characterised on the basis of Boris Johnson , the current but soon to be ousted PM... corrupt politicians rarely reflect the wishes of the people and Serbs are no different",-1
56,"@padams0511 I\'ll be honest ""it\'s a bad idea"" isn\'t a consideration that really carries a lot of weight when it comes to predicting what Boris Johnson is going to do.",-1
57,@RickyDHale Why deny yourself the pleasure of seeing Boris Johnson being booed on three occasions?,-1
58,Just found out Boris Johnson is transphobic,-1
59,"@Loriagne2 For the avoidence of doubt the quote is attributable to William Shakespeare and refers to Boris Johnson, the current (quick Google check) Prime Minister",0
60,#wilbur: who’s your favorite religion?\n#chat: you / me / boris johnson / tommyinnit / shrek / hestia / blood god / loki / i am the Lord,0
61,"I wonder whether bringing back steam trains is the ""red meat"" policy that would swing it for Boris Johnson?",0
62,Boris Johnson and boos..  because of Boris Johnson and booze!,-1
63,@GoodwinMJ Because it’s Boris Johnson and the media are desperate to be able to get rid of him. Inflating the importance of by-elections enables them to point fingers.,1
64,"What does the future hold for Johnson?\n\nThe 2 am slot on some failing fascist TV channel?\n\n""Boris Is Angry About Something"" with special guest Nigel Farage.\n\nCalling for a referendum.\n\nMaybe this time we don\'t fall for it.",-1
